LCCS_Code,Description,Tree_BrEv,Tree_BrDc,Tree_NeEv,Tree_NeDe,Shrub_BrEv,Shrub_BrDe,Shrub_NeEv,Shrub_NeDe,Grass,Bare
10,Crop (General),,,,,,,,,100,
11,Crop - Herbaceous,,,,,,,,,100,
12,Crop - Tree/Shrub,,,,,,50,,,50,
20,Crop - irrigated,,,,,,,,,100,
30,Mosaic -  Crop/Natural,5,5,,,5,5,5,,75,
40,Mosaic - Natural/Crop,5,5,,,7.5,10,7.5,,65,
50,Tree -- Broadleaf evergreen,90,,,,5,5,,,,
60,Tree -- broadleaf deciduous,,70,,,,15,,,15,
61,Tree -- broadleaf deciduous closed,,70,,,,15,,,15,
62,Tree -- broadleaf deciduous open,,30,,,,25,,,35,10
70,Tree -- needleaf evergreen,,,70,,5,5,5,,15,
71,Tree -- needleleaf evergreen closed,,,70,,5,5,5,,15,
72,Tree -- needleleaf evergreen open,,,30,,,5,5,,30,30
80,Tree -- needleleaf deciduous,,,,70,5,5,5,,15,
81,Tree -- needleleaf deciduous closed,,,,70,5,5,5,,15,
82,Tree -- needleleaf deciduous open,,,,30,,5,5,,30,30
90,Tree -- mixed,,30,20,10,5,5,5,,15,10
100,"Mosaic - tree/shrub, minor herb",10,20,5,5,5,10,5,,40,
110,"Mosiac -- herb, minor tree/shrub",5,10,5,,5,10,5,,60,
120,Shrubland,,,,,20,20,20,,20,20
121,Shrubland -- evergreen,,,,,30,,30,,20,20
122,Shrubland -- deciduous,,,,,,60,,,20,20
130,Grassland,,,,,,,,,60,40
150,Sparse vegetation,1,3,1,,1,3,1,,5,85
152,Sparse shrub,,,,,2,6,2,,5,85
153,Sparse herbaceous,,,,,,,,,15,85
